card_code,qr_url
GEQO-U2ERCA,https://mygeqo.com/claim?card=GEQO-U2ERCA
GEQO-J0JPKA,https://mygeqo.com/claim?card=GEQO-J0JPKA
GEQO-MOMKTA,https://mygeqo.com/claim?card=GEQO-MOMKTA
GEQO-V9T65O,https://mygeqo.com/claim?card=GEQO-V9T65O
GEQO-1JVO26,https://mygeqo.com/claim?card=GEQO-1JVO26
GEQO-OJPJY3,https://mygeqo.com/claim?card=GEQO-OJPJY3
GEQO-8LZ94I,https://mygeqo.com/claim?card=GEQO-8LZ94I
GEQO-0W8BPE,https://mygeqo.com/claim?card=GEQO-0W8BPE
GEQO-F87ZP9,https://mygeqo.com/claim?card=GEQO-F87ZP9
GEQO-W7MNTT,https://mygeqo.com/claim?card=GEQO-W7MNTT
GEQO-JO73ZE,https://mygeqo.com/claim?card=GEQO-JO73ZE
GEQO-XGQ1OI,https://mygeqo.com/claim?card=GEQO-XGQ1OI
GEQO-A380Y7,https://mygeqo.com/claim?card=GEQO-A380Y7
GEQO-AMJ23J,https://mygeqo.com/claim?card=GEQO-AMJ23J
GEQO-N5GMGP,https://mygeqo.com/claim?card=GEQO-N5GMGP
GEQO-8GPDPC,https://mygeqo.com/claim?card=GEQO-8GPDPC
GEQO-R8UDX2,https://mygeqo.com/claim?card=GEQO-R8UDX2
GEQO-F9VRCH,https://mygeqo.com/claim?card=GEQO-F9VRCH
GEQO-YB1RBV,https://mygeqo.com/claim?card=GEQO-YB1RBV
GEQO-UYABGB,https://mygeqo.com/claim?card=GEQO-UYABGB
GEQO-4XFPEI,https://mygeqo.com/claim?card=GEQO-4XFPEI
GEQO-GHV7UA,https://mygeqo.com/claim?card=GEQO-GHV7UA
GEQO-LG9FQR,https://mygeqo.com/claim?card=GEQO-LG9FQR
GEQO-KVBGAC,https://mygeqo.com/claim?card=GEQO-KVBGAC
GEQO-5DZP3Z,https://mygeqo.com/claim?card=GEQO-5DZP3Z
GEQO-96UUPN,https://mygeqo.com/claim?card=GEQO-96UUPN
GEQO-BZ9089,https://mygeqo.com/claim?card=GEQO-BZ9089
GEQO-2EJXWM,https://mygeqo.com/claim?card=GEQO-2EJXWM
GEQO-RBAV0E,https://mygeqo.com/claim?card=GEQO-RBAV0E
GEQO-DO5JUJ,https://mygeqo.com/claim?card=GEQO-DO5JUJ
GEQO-0CK7Q1,https://mygeqo.com/claim?card=GEQO-0CK7Q1
GEQO-S2N0HH,https://mygeqo.com/claim?card=GEQO-S2N0HH
GEQO-HHGKPY,https://mygeqo.com/claim?card=GEQO-HHGKPY
GEQO-IKM4RL,https://mygeqo.com/claim?card=GEQO-IKM4RL
GEQO-5ZB8ZP,https://mygeqo.com/claim?card=GEQO-5ZB8ZP
GEQO-GE4AQM,https://mygeqo.com/claim?card=GEQO-GE4AQM
GEQO-JQE83U,https://mygeqo.com/claim?card=GEQO-JQE83U
GEQO-IJIC7J,https://mygeqo.com/claim?card=GEQO-IJIC7J
GEQO-NI6LU2,https://mygeqo.com/claim?card=GEQO-NI6LU2
GEQO-U4Z84C,https://mygeqo.com/claim?card=GEQO-U4Z84C
GEQO-9JO5VC,https://mygeqo.com/claim?card=GEQO-9JO5VC
GEQO-PIS583,https://mygeqo.com/claim?card=GEQO-PIS583
GEQO-KPJQF6,https://mygeqo.com/claim?card=GEQO-KPJQF6
GEQO-1UJSAF,https://mygeqo.com/claim?card=GEQO-1UJSAF
GEQO-NOLXTQ,https://mygeqo.com/claim?card=GEQO-NOLXTQ
GEQO-ROIMHQ,https://mygeqo.com/claim?card=GEQO-ROIMHQ
GEQO-ZHEDWX,https://mygeqo.com/claim?card=GEQO-ZHEDWX
GEQO-LUJE2G,https://mygeqo.com/claim?card=GEQO-LUJE2G
GEQO-ZDBVVQ,https://mygeqo.com/claim?card=GEQO-ZDBVVQ
GEQO-6QDZFD,https://mygeqo.com/claim?card=GEQO-6QDZFD
